1	first
10	tenth
100	hundredth
1000	thousandth
1000000	millionth
1000000000	billionth
11	eleventh
12	twelfth
13	thirteenth
14	fourteenth
15	fifteenth
16	sixteenth
17	seventeenth
18	eighteenth
19	nineteenth
2	second
20	twentieth
200	two-hundredth
21	twenty-first
22	twenty-second
23	twenty-third
24	twenty-fourth
25	twenty-fifth
26	twenty-sixth
27	twenty-seventh
28	twenty-eighth
29	twenty-ninth
3	third
30	thirtieth
300	three-hundredth
31	thirty-first
32	thirty-second
33	thirty-third
34	thirty-fourth
35	thirty-fifth
36	thirty-sixth
37	thirty-seventh
38	thirty-eighth
39	thirty-ninth
4	fourth
40	fortieth
400	four-hundredth
41	forty-first
42	forty-second
43	forty-third
44	forty-fourth
45	forty-fifth
46	forty-sixth
47	forty-seventh
48	forty-eighth
49	forty-ninth
5	fifth
50	fiftieth
500	five-hundredth
51	fifty-first
52	fifty-second
53	fifty-third
54	fifty-fourth
55	fifty-fifth
56	fifty-sixth
57	fifty-seventh
58	fifty-eighth
59	fifty-ninth
6	sixth
60	sixtieth
600	six-hundredth
61	sixty-first
62	sixty-second
63	sixty-third
64	sixty-fourth
65	sixty-fifth
66	sixty-sixth
67	sixty-seventh
68	sixty-eighth
69	sixty-ninth
7	seventh
70	seventieth
700	seven-hundredth
71	seventy-first
72	seventy-second
73	seventy-third
74	seventy-fourth
75	seventy-fifth
76	seventy-sixth
77	seventy-seventh
78	seventy-eighth
79	seventy-ninth
8	eighth
80	eightieth
800	eight-hundredth
81	eighty-first
82	eighty-second
83	eighty-third
84	eighty-fourth
85	eighty-fifth
86	eighty-sixth
87	eighty-seventh
88	eighty-eighth
89	eighty-ninth
9	ninth
90	ninetieth
900	nine-hundredth
91	ninety-first
92	ninety-second
93	ninety-third
94	ninety-fourth
95	ninety-fifth
96	ninety-sixth
97	ninety-seventh
98	ninety-eighth
99	ninety-ninth
a	an
a	as
aardvark	aardvarks
ab	abs
abacus	abaci
abacus	abacuses
abalone	abalones
abandon	abandoned
abandon	abandoning
abandon	abandons
abase	abased
abase	abases
abase	abasing
abash	abashed
abash	abashes
abash	abashing
abate	abated
abate	abates
abate	abating
abatement	abatements
abattoir	abattoirs
abbess	abbesses
abbey	abbeys
abbot	abbots
abbreviate	abbreviated
abbreviate	abbreviates
abbreviate	abbreviating
abbreviation	abbreviations
abcess	abcesses
abdicate	abdicated
abdicate	abdicates
abdicate	abdicating
abdication	abdications
abdomen	abdomens
abdomen	abdomina
abdominal	abdominals
abduct	abducted
abduct	abducting
abduct	abducts
abduction	abductions
abductor	abductors
aberration	aberrations
abet	abets
abet	abetted
abet	abetting
abhor	abhorred
abhor	abhorring
abhor	abhors
abide	abided
abide	abides
abide	abiding
abide	abode
ability	abilities
abject	abjected
abject	abjecting
abject	abjects
abjecter	abjecters
abjure	abjured
abjure	abjures
abjure	abjuring
ablate	ablated
ablate	ablates
ablate	ablating
ablation	ablations
able	abler
able	ablest
ablution	ablutions
abnormality	abnormalities
abode	abodes
abolish	abolished
abolish	abolishes
abolish	abolishing
abolition	abolitions
abolitionist	abolitionists
A-bomb	A-bombs
abominate	abominated
abominate	abominates
abominate	abominating
abomination	abominations
aboriginal	aboriginals
Aborigine	Aborigines
abort	aborted
abort	aborting
abort	aborts
abortifacient	abortifacients
abortion	abortions
abortionist	abortionists
abound	abounded
abound	abounding
abound	abounds
about-face	about-faces
about-turn	about-turns
abrade	abraded
abrade	abrades
abrade	abrading
abrasion	abrasions
abrasive	abrasives
abreaction	abreactions
abridge	abridged
abridge	abridges
abridge	abridging
abridgement	abridgements
abridgment	abridgments
abrogate	abrogated
abrogate	abrogates
abrogate	abrogating
abrogation	abrogations
abrupt	abrupter
abrupt	abruptest
abruption	abruptions
abscess	abscesses
abscissa	abscissae
abscissa	abscissas
abscond	absconded
abscond	absconding
abscond	absconds
abseil	abseiled
abseil	abseiling
abseil	abseils
absence	absences
absent	absented
absent	absenting
absent	absents
absentee	absentees
absenteeism	absenteeisms
absinthe	absinthes
absolute	absolutes
absolutist	absolutists
absolve	absolved
absolve	absolves
absolve	absolving
absorb	absorbed
absorb	absorbing
absorb	absorbs
absorbance	absorbances
absorbency	absorbencies
absorbent	absorbents
absorber	absorbers
absorptiometry	absorptiometries
absorption	absorptions
abstain	abstained
abstain	abstaining
abstain	abstains
abstainer	abstainers
abstention	abstentions
abstinence	abstinences
abstract	abstracted
abstract	abstracting
abstract	abstracts
abstraction	abstractions
absurdity	absurdities
abundance	abundances
abuse	abused
abuse	abuses
abuse	abusing
abuser	abusers
abut	abuts
abut	abutted
abut	abutting
abutment	abutments
abyss	abysses
acacia	acacias
academic	academics
academician	academicians
academy	academies
acanthus	acanthi
acanthus	acanthuses
acaricide	acaricides
acc	accs
accede	acceded
accede	accedes
accede	acceding
accelerant	accelerants
accelerate	accelerated
accelerate	accelerates
accelerate	accelerating
acceleration	accelerations
accelerator	accelerators
accelerometer	accelerometers
accent	accented
accent	accenting
accent	accents
accentuate	accentuated
accentuate	accentuates
accentuate	accentuating
accentuation	accentuations
accept	accepted
accept	accepting
accept	accepts
acceptability	acceptabilities
acceptance	acceptances
acceptation	acceptations
acceptor	acceptors
access	accessed
access	accesses
access	accessing
accessibility	accessibilities
accession	accessioned
accession	accessioning
accession	accessions
accessory	accessories
accident	accidents
accidental	accidentals
acclaim	acclaimed
acclaim	acclaiming
acclaim	acclaims
acclimate	acclimated
acclimate	acclimates
